      20.250      -72826.0963
      20.500      -72887.0417
      20.750      -72860.0985
      21.000      -72864.4427
      21.250      -72651.7833
      21.500      -72738.0337
      21.750      -72733.5251
      22.000      -72871.2947
      22.250      -72813.9744
      22.500      -72814.2368
      22.750      -72867.8486
      23.000      -72802.1258
      23.250      -72797.1161
      23.500      -72956.9306
      23.750      -72723.3266
      24.000      -72839.8643
      24.250      -72948.9899
      24.500      -72766.5319
      24.750      -72828.0419
      25.000      -72756.6119
      25.250      -72768.2891
      25.500      -72981.4767
      25.750      -72872.4183
      26.000      -72828.1544
      26.250      -72807.1401
      26.500      -72897.1731
      26.750      -72727.9939
      27.000      -72806.4076
      27.250      -72817.1789
      27.500      -72915.1068
      27.750      -72591.7341
      28.000      -72796.3275
      28.250      -72719.5140
      28.500      -72640.3637
      28.750      -72817.3968
      29.000      -72841.1702
      29.250      -72737.1513
      29.500      -72599.5025
      29.750      -72597.6333
      30.000      -72701.2422
